Latitude,Longitude,Incident_Date,NPA,Weapon,Age,Gender,Race,Year,Month,Weekday,Hour,Weapon_Simplified
35.28894891091544,-80.75538720175827,2024-10-16,219,Knife,25.0,Male,Black,2024,10,2,0,Blade
35.21154987482843,-80.89867996704717,2024-10-15,159,Handgun,56.0,Male,Black,2024,10,1,0,Gun
35.20857672443822,-80.75757628868574,2024-10-14,164,Handgun,25.0,Male,Hispanic,2024,10,0,0,Gun
35.22614751138458,-80.82571097969094,2024-10-08,200,Firearm,32.0,Male,Black,2024,10,1,0,Gun
35.27700545581045,-80.76636609725698,2024-10-03,103,Handgun,22.0,Male,Black,2024,10,3,0,Gun
35.21296016466347,-80.79461533675871,2024-09-26,86,Handgun,25.0,Male,Black,2024,9,3,0,Gun
35.16174230424127,-80.75215585980902,2024-09-15,246,Firearm,19.0,Male,Black,2024,9,6,0,Gun
35.13785918939587,-80.93131937277197,2024-09-13,92,Handgun,62.0,Female,Black,2024,9,4,0,Gun
35.19933370025061,-80.70408748745044,2024-09-12,146,Handgun,23.0,Male,Hispanic,2024,9,3,0,Gun
35.14403302747345,-80.88652490019146,2024-09-10,71,Handgun,15.0,Male,Black,2024,9,1,0,Gun
35.15717288052485,-80.7297851355904,2024-09-06,107,Handgun,23.0,Female,Black,2024,9,4,0,Gun
35.27733486404218,-80.8113898950366,2024-08-17,160,Blunt Trauma,47.0,Female,Black,2024,8,5,0,Other
35.053290111518365,-80.86865638222385,2024-08-13,355,Firearm,17.0,Male,White,2024,8,1,0,Gun
35.207262671214984,-80.8946523934829,2024-08-11,120,Handgun,37.0,Male,Black,2024,8,6,0,Gun
35.191783044837,-80.60479035396908,2024-08-10,396,Handgun,23.0,Male,Hispanic,2024,8,5,0,Gun
35.234209857316785,-80.76840546880467,2024-08-02,128,Handgun,57.0,Male,Hispanic,2024,8,4,0,Gun
35.180489794177475,-80.86318148080113,2024-07-29,226,Knife,27.0,Male,Hispanic,2024,7,0,0,Blade
35.23300776378283,-80.81194134329543,2024-07-26,386,Handgun,38.0,Male,Black,2024,7,4,0,Gun
35.19075067710038,-80.79140455690619,2024-07-24,394,Knife,79.0,Male,Black,2024,7,2,0,Blade
35.162803855121325,-80.97457949665076,2024-07-22,45,Handgun,21.0,Male,Black,2024,7,0,0,Gun
35.25469770648805,-80.68298408348224,2024-07-18,242,Firearm,18.0,Male,Black,2024,7,3,0,Gun
35.155244271000875,-80.84945382143898,2024-07-14,8,Knife,32.0,Female,White,2024,7,6,0,Blade
35.30717722409325,-80.80489679776704,2024-07-09,283,Handgun,19.0,Male,Black,2024,7,1,0,Gun
35.26969074114286,-80.83756796888092,2024-07-09,363,Firearm,58.0,Male,Black,2024,7,1,0,Gun
35.220545169652354,-80.87982087057735,2024-07-08,317,Handgun,29.0,Male,Black,2024,7,0,0,Gun
35.34489233137363,-80.86955394904335,2024-07-08,191,Handgun,37.0,Male,Hispanic,2024,7,0,0,Gun
35.06546529183617,-80.81676491745363,2024-07-08,262,Handgun,36.0,Male,Black,2024,7,0,0,Gun
35.298659342472476,-80.81749274067181,2024-07-02,150,Handgun,63.0,Female,Black,2024,7,1,0,Gun
35.258214041296824,-80.67831937877462,2024-06-23,324,Handgun,24.0,Male,Black,2024,6,6,0,Gun
35.275341245588265,-80.80779668364481,2024-06-20,138,Handgun,35.0,Male,Black,2024,6,3,0,Gun
35.254913774467404,-80.88951623413698,2024-06-16,6,Handgun,27.0,Female,Hispanic,2024,6,6,0,Gun
35.23371404690937,-80.84268805299236,2024-06-14,476,Physical,36.0,Male,Black,2024,6,4,0,Other
35.1466248571197,-80.8933603001199,2024-06-13,53,Knife,32.0,Male,Black,2024,6,3,0,Blade
35.23160443202255,-80.83684259987095,2024-06-08,476,Handgun,30.0,Male,Black,2024,6,5,0,Gun
35.27135721906449,-80.78422805107108,2024-06-02,371,Handgun,18.0,Male,Hispanic,2024,6,6,0,Gun
35.27700545581045,-80.76636609725698,2024-06-02,103,Firearm,39.0,Male,Black,2024,6,6,0,Gun
35.137444721953166,-80.89062461105092,2024-05-27,79,Firearm,54.0,Male,Hispanic,2024,5,0,0,Gun
35.198378187286,-80.75001762703289,2024-05-26,135,Handgun,23.0,Male,Hispanic,2024,5,6,0,Gun
35.27096292694621,-80.75916118653761,2024-05-22,234,Handgun,14.0,Male,Black,2024,5,2,0,Gun
35.28956786205177,-80.75799475479474,2024-05-22,331,Firearm,20.0,Male,Black,2024,5,2,0,Gun
35.339112330807545,-80.83273741709014,2024-05-21,38,Handgun,,Male,Other/Unknown,2024,5,1,0,Gun
